item,price,store,image
Lenovo Ideapad 110 (i3/4/1TB/R5 M430) Notebook PC,"6,299 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Lenovo Legion Y520 (i7/16/1TB+128G SSD/NVIDIA/W10) Notebook PC,"20,999 L.E",CompuScience,http://www.egprices.com/images/thumb/lenovo-legion-y520.jpg
Dell Inspiron 15R 3567 (i3/4/500) Notebook PC,"6,500 L.E",Sigma Computer,http://www.egprices.com/images/thumb/dell_inspiron_15r_3558_notebook_pc.jpg
HP 15-BS035NE Notebook PC,"9,890 L.E",Compunil,http://www.egprices.com/images/thumb/15-bs035ne.jpg
Lenovo Ideapad 320 (AMD/4/1TB) Notebook PC,"4,400 L.E",Collection,http://www.egprices.com/images/thumb/lenovo-ideapad-320.jpg
HP 15-BS035NE Notebook PC,"10,150 L.E",Collection,http://www.egprices.com/images/thumb/15-bs035ne.jpg
Dell Inspiron 15R 3567 (i5/4/1TB/R5 M340) Notebook PC,"8,750 L.E",Collection,http://www.egprices.com/images/thumb/dell_inspiron_15r_3558_notebook_pc.jpg
Dell Inspiron 15R 3567 (i5/4/500/R5 M340/Linux) Notebook PC,"8,450 L.E",Collection,http://www.egprices.com/images/thumb/dell_inspiron_15r_3558_notebook_pc.jpg
Lenovo Ideapad 110 (Celeron /4/500) Notebook PC,"4,599 L.E",Raya Shop,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Lenovo Ideapad 310 (i7/8/1TB/NVIDIA) Notebook PC,"11,650 L.E",Compu Data Center,http://www.egprices.com/images/thumb/lenovo_ideapad_310_notbook_pc.jpg
Dell Inspiron 15R 5567 (i7/8/1TB/R7 M440) Notebook PC,"12,150 L.E",Compunil,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
Lenovo Ideapad Y700 (i7/16/1TB+128GB SSD/NVidia) Notebook PC,"18,888 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo_y700.jpg
Dell Inspiron 15-7567 (I7/16/1TB + 128SSD/NVIDIA) Notebook PC,"21,999 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/15_7567.jpg
Acer Predator Helios 300 (i7/16/256GB SSD/NVIDIA) Gaming Notebook PC,"28,200 L.E",El Badr Group,http://www.egprices.com/images/thumb/acer-predator-helios-300.jpg
Dell Inspiron 15R 5567 (i7/16/2TB/R7 M445/W10) Notebook PC,"16,000 L.E",Collection,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
Cherry ZE001 Notebook PC,"3,299 L.E",CompuScience,http://www.egprices.com/images/thumb/cherry_ze001_notebook_pc.jpg
Apple New MacBook 12-inch Retina Display Dual-core 1.1GHz 8GB (256GB) (gold),"25,900 L.E",Tradeline Stores,http://www.egprices.com/images/thumb/apple_new_macbook_gold.jpg
Dell Inspiron 15R 5567 (i7/8/1TB/R7 M445) Notebook PC,"12,150 L.E",Compu Data Center,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
Apple New MacBook 12-inch Retina Display Dual-core 1.2 GHz 8GB (512GB) (gray),"28,900 L.E",Tradeline Stores,http://www.egprices.com/images/thumb/apple_new_macbook_gray.jpg
Lenovo ThinkPad T470 (i5/4/500/W10) Notebook PC,"23,499 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo-thinkpad-t470.jpg
Lenovo Ideapad 320 (i3/4/1TB) Notebook PC,"6,250 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo-ideapad-320.jpg
Lenovo Ideapad 520 (i7/16/2TB/NVIDIA) Notebook PC,"15,499 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo-ideapad-520.jpg
HP ProBook 450 G4 (i7/8/1TB/NVIDIAI) Notebook PC,"13,499 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/hp_probook_450_g4.jpg
Dell Inspiron 15R 5567 (i7/16/2TB/R7 M440) Notebook PC,"14,000 L.E",Brothers for Import,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
Lenovo Ideapad 510 (I7/8/1TB/NVIDIA) Notebook PC,"12,888 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo_ideapad_510_notebook_pc.jpg
Lenovo Ideapad 110 (i7/8/1TB/R5 M430) Notebook PC,"10,000 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Lenovo Ideapad 520 (i5/8/1TB/NVIDIA) Notebook PC,"11,299 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo_ideapad_520_i5.jpg
HP 15-BS035NE Notebook PC,"9,899 L.E",CompuScience,http://www.egprices.com/images/thumb/15-bs035ne.jpg
Lenovo Ideapad 520 (i7/8/1TB/NVIDIA) Notebook PC,"13,899 L.E",CompuScience,http://www.egprices.com/images/thumb/lenovo-ideapad-520.jpg
"Lenovo Ideapad 520 (i5/16/2TB/NVIDIA) Notebook PC (Gold, Grey)","13,399 L.E",CompuScience,http://www.egprices.com/images/thumb/lenovo_ideapad_520_i5.jpg
Dell Inspiron 15R 5567 (i7/8/2TB/R7 M440) Notebook PC,"12,699 L.E",CompuScience,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
Lenovo Ideapad 110 (i7/8/1TB/R5 M430) Notebook PC,"10,250 L.E",CompuScience,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Lenovo Ideapad 320 (i7/8/1TB/R7 M530) Notebook PC,"10,899 L.E",CompuScience,http://www.egprices.com/images/thumb/lenovo-ideapad-320.jpg
Lenovo Ideapad 110 (i5/4/1TB/R5 M430) Notebook PC,"8,099 L.E",CompuScience,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Dell Inspiron 15R 3567 (i3/4/500) Notebook PC,"6,399 L.E",CompuScience,http://www.egprices.com/images/thumb/dell_inspiron_15r_3558_notebook_pc.jpg
Dell Inspiron 15R 5567 (i7/8/1TB/R7 M440) Notebook PC,"11,899 L.E",CompuScience,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
Lenovo Ideapad 320S (i7/8/512GB SSD/NVidia) Notebook PC,"19,200 L.E",Collection,http://www.egprices.com/images/thumb/lenovo-ideapad-320s-i7.jpg
Lenovo Ideapad 110 (i3/4/1TB/R5 M430) Notebook PC,"7,000 L.E",Collection,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Dell Inspiron 15R 5567 (i5/4/1TB/R7 M440) Notebook PC,"9,200 L.E",Collection,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
HP 15-BS032NE Notebook PC (2CT82EA),"7,798 L.E",CompuMe,http://www.egprices.com/images/thumb/15-bs032ne.jpg
Lenovo Ideapad 320 (i7/8/1TB/R7 M520) Notebook PC,"11,350 L.E",Delta Computer Alex,http://www.egprices.com/images/thumb/lenovo-ideapad-320.jpg
Lenovo Ideapad 310 (i7/8/1TB/NVIDIA) Notebook PC,"11,250 L.E",Delta Computer Alex,http://www.egprices.com/images/thumb/lenovo_ideapad_310_notbook_pc.jpg
HP 15-BS036NE Notebook PC (2CT87EA),"11,399 L.E",CompuMe,http://www.egprices.com/images/thumb/hp-15-bs036ne.jpg
HP 15-BS035NE Notebook PC,"11,699 L.E",CompuMe,http://www.egprices.com/images/thumb/15-bs035ne.jpg
HP 15-BS033NE Notebook PC,"8,299 L.E",Computer Shop,http://www.egprices.com/images/thumb/hp_15-bs033ne_notebook_pc.jpg
HP 15-BS032NE Notebook PC (2CT82EA),"7,799 L.E",Computer Shop,http://www.egprices.com/images/thumb/15-bs032ne.jpg
HP 15-BS038NE Notebook PC,"12,250 L.E",Collection,http://www.egprices.com/images/thumb/15-bs035ne.jpg
HP ProBook 450 G4 (i5/8/1TB/NVIDIAI) Notebook PC,"10,950 L.E",Collection,http://www.egprices.com/images/thumb/hp_probook_450_g4.jpg
Dell Inspiron 15R 3567 (i3/4/500/Linux) Notebook PC,"6,400 L.E",Collection,http://www.egprices.com/images/thumb/dell_inspiron_15r_3558_notebook_pc.jpg
HP 255 G6 (AMD E2/4/500/R2) Notebook PC,"4,500 L.E",Collection,http://www.egprices.com/images/thumb/hp_255_g6.jpg
Lenovo Legion Y520 (i7/16/1TB+128G SSD/NVIDIA/W10) Notebook PC,"21,000 L.E",Collection,http://www.egprices.com/images/thumb/lenovo-legion-y520.jpg
HP 15-AC118NE Notebook PC (P4G48EA),"5,950 L.E",Collection,http://www.egprices.com/images/thumb/hp_15-r253ne.jpg
HP 15-bs095nia Notebook PC,"6,400 L.E",Sigma Computer,http://www.egprices.com/images/thumb/2cj87ea.jpg
Lenovo ThinkPad T460S (i7/8/256GB SSD/W10) Notebook PC,"34,999 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo_thinkpad_t460.jpg
HP 15-BS033NE Notebook PC,"8,299 L.E",CompuMe,http://www.egprices.com/images/thumb/hp_15-bs033ne_notebook_pc.jpg
Lenovo Ideapad 320 (i7/8/1TB/R7 M530) Notebook PC,"12,399 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo-ideapad-320.jpg
